poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,endorsed_candidate_id,endorsed_candidate_name,endorsed_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,url_article,url_topline,url_crosstab,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,ranked_choice_round,hypothetical,party,answer,candidate_id,candidate_name,pct
88691,1754,Patriot Polling,NA,NA,Patriot Polling,732,Patriot Polling,1.1,0.6,IVR,5,Wisconsin,10/12/24,10/14/24,NA,NA,NA,NA,NA,NA,212551,803,rv,NA,rv,NA,10/15/24 08:56,NA,https://patriotpolling.com/our-polls/f/trump-and-baldwin-hold-narrow-leads-in-wisconsin,NA,NA,https://patriotpolling.com/our-polls/f/trump-and-baldwin-hold-narrow-leads-in-wisconsin,NA,NA,NA,8905,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,DEM,Harris,16661,Kamala Harris,49
88691,1754,Patriot Polling,NA,NA,Patriot Polling,732,Patriot Polling,1.1,0.6,IVR,5,Wisconsin,10/12/24,10/14/24,NA,NA,NA,NA,NA,NA,212551,803,rv,NA,rv,NA,10/15/24 08:56,NA,https://patriotpolling.com/our-polls/f/trump-and-baldwin-hold-narrow-leads-in-wisconsin,NA,NA,https://patriotpolling.com/our-polls/f/trump-and-baldwin-hold-narrow-leads-in-wisconsin,NA,NA,NA,8905,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,50
88661,1562,Redfield & Wilton Strategies,NA,NA,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,1.8,0.4,Online Panel,9,Georgia,10/8/24,10/9/24,NA,NA,NA,NA,NA,NA,212358,608,lv,NA,lv,NA,10/11/24 13:11,NA,https://redfieldandwiltonstrategies.com/pennsylvania-and-georgia-voting-intention-8-9-october-2024/,https://redfieldandwiltonstrategies.com/pennsylvania-and-georgia-voting-intention-8-9-october-2024/,NA,NA,NA,NA,NA,8781,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,DEM,Harris,16661,Kamala Harris,47
88661,1562,Redfield & Wilton Strategies,NA,NA,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,1.8,0.4,Online Panel,9,Georgia,10/8/24,10/9/24,NA,NA,NA,NA,NA,NA,212358,608,lv,NA,lv,NA,10/11/24 13:11,NA,https://redfieldandwiltonstrategies.com/pennsylvania-and-georgia-voting-intention-8-9-october-2024/,https://redfieldandwiltonstrategies.com/pennsylvania-and-georgia-voting-intention-8-9-october-2024/,NA,NA,NA,NA,NA,8781,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,48
88661,1562,Redfield & Wilton Strategies,NA,NA,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,1.8,0.4,Online Panel,9,Georgia,10/8/24,10/9/24,NA,NA,NA,NA,NA,NA,212358,608,lv,NA,lv,NA,10/11/24 13:11,NA,https://redfieldandwiltonstrategies.com/pennsylvania-and-georgia-voting-intention-8-9-october-2024/,https://redfieldandwiltonstrategies.com/pennsylvania-and-georgia-voting-intention-8-9-october-2024/,NA,NA,NA,NA,NA,8781,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,LIB,Oliver,31790,Chase Oliver,1
88661,1562,Redfield & Wilton Strategies,NA,NA,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,1.8,0.4,Online Panel,9,Georgia,10/8/24,10/9/24,NA,NA,NA,NA,NA,NA,212358,608,lv,NA,lv,NA,10/11/24 13:11,NA,https://redfieldandwiltonstrategies.com/pennsylvania-and-georgia-voting-intention-8-9-october-2024/,https://redfieldandwiltonstrategies.com/pennsylvania-and-georgia-voting-intention-8-9-october-2024/,NA,NA,NA,NA,NA,8781,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,GRE,Stein,31116,Jill Stein,1
88662,1562,Redfield & Wilton Strategies,NA,NA,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,1.8,0.4,Online Panel,9,Pennsylvania,10/8/24,10/9/24,NA,NA,NA,NA,NA,NA,212359,707,lv,NA,lv,NA,10/11/24 13:11,NA,https://redfieldandwiltonstrategies.com/pennsylvania-and-georgia-voting-intention-8-9-october-2024/,https://redfieldandwiltonstrategies.com/pennsylvania-and-georgia-voting-intention-8-9-october-2024/,NA,NA,NA,NA,NA,8872,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,DEM,Harris,16661,Kamala Harris,46
88662,1562,Redfield & Wilton Strategies,NA,NA,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,1.8,0.4,Online Panel,9,Pennsylvania,10/8/24,10/9/24,NA,NA,NA,NA,NA,NA,212359,707,lv,NA,lv,NA,10/11/24 13:11,NA,https://redfieldandwiltonstrategies.com/pennsylvania-and-georgia-voting-intention-8-9-october-2024/,https://redfieldandwiltonstrategies.com/pennsylvania-and-georgia-voting-intention-8-9-october-2024/,NA,NA,NA,NA,NA,8872,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,48
88662,1562,Redfield & Wilton Strategies,NA,NA,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,1.8,0.4,Online Panel,9,Pennsylvania,10/8/24,10/9/24,NA,NA,NA,NA,NA,NA,212359,707,lv,NA,lv,NA,10/11/24 13:11,NA,https://redfieldandwiltonstrategies.com/pennsylvania-and-georgia-voting-intention-8-9-october-2024/,https://redfieldandwiltonstrategies.com/pennsylvania-and-georgia-voting-intention-8-9-october-2024/,NA,NA,NA,NA,NA,8872,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,LIB,Oliver,31790,Chase Oliver,1
88662,1562,Redfield & Wilton Strategies,NA,NA,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,1.8,0.4,Online Panel,9,Pennsylvania,10/8/24,10/9/24,NA,NA,NA,NA,NA,NA,212359,707,lv,NA,lv,NA,10/11/24 13:11,NA,https://redfieldandwiltonstrategies.com/pennsylvania-and-georgia-voting-intention-8-9-october-2024/,https://redfieldandwiltonstrategies.com/pennsylvania-and-georgia-voting-intention-8-9-october-2024/,NA,NA,NA,NA,NA,8872,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,GRE,Stein,31116,Jill Stein,0
88621,1497,co/efficient,2189,Americans for IVF,co/efficient,514,co/efficient,1.1,0.3,IVR/Text,5,NA,10/6/24,10/8/24,NA,NA,NA,NA,NA,NA,212238,2180,lv,NA,lv,NA,10/10/24 09:12,NA,https://coefficient.org/national-ivf/,NA,NA,https://coefficient.org/national-ivf/,NA,NA,NA,8914,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,DEM,Harris,16661,Kamala Harris,49
88621,1497,co/efficient,2189,Americans for IVF,co/efficient,514,co/efficient,1.1,0.3,IVR/Text,5,NA,10/6/24,10/8/24,NA,NA,NA,NA,NA,NA,212238,2180,lv,NA,lv,NA,10/10/24 09:12,NA,https://coefficient.org/national-ivf/,NA,NA,https://coefficient.org/national-ivf/,NA,NA,NA,8914,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,47
88671,1624,J.L. Partners,1997,DailyMail.com,J.L. Partners,619,J.L. Partners,1.6,0.2,Live Phone/Online Panel/Text-to-Web,6,Pennsylvania,10/5/24,10/8/24,NA,NA,NA,NA,NA,NA,212489,800,lv,NA,lv,NA,10/13/24 14:23,NA,https://www.dailymail.co.uk/news/article-13943171/pennsylvania-presidential-poll-donald-trump-kamala-harris.html,https://www.dailymail.co.uk/news/article-13943171/pennsylvania-presidential-poll-donald-trump-kamala-harris.html,NA,https://jlpartners.com/pennsylvania-likely-voters-polling,NA,NA,NA,8872,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,DEM,Harris,16661,Kamala Harris,47
88671,1624,J.L. Partners,1997,DailyMail.com,J.L. Partners,619,J.L. Partners,1.6,0.2,Live Phone/Online Panel/Text-to-Web,6,Pennsylvania,10/5/24,10/8/24,NA,NA,NA,NA,NA,NA,212489,800,lv,NA,lv,NA,10/13/24 14:23,NA,https://www.dailymail.co.uk/news/article-13943171/pennsylvania-presidential-poll-donald-trump-kamala-harris.html,https://www.dailymail.co.uk/news/article-13943171/pennsylvania-presidential-poll-donald-trump-kamala-harris.html,NA,https://jlpartners.com/pennsylvania-likely-voters-polling,NA,NA,NA,8872,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,47
88671,1624,J.L. Partners,1997,DailyMail.com,J.L. Partners,619,J.L. Partners,1.6,0.2,Live Phone/Online Panel/Text-to-Web,6,Pennsylvania,10/5/24,10/8/24,NA,NA,NA,NA,NA,NA,212489,800,lv,NA,lv,NA,10/13/24 14:23,NA,https://www.dailymail.co.uk/news/article-13943171/pennsylvania-presidential-poll-donald-trump-kamala-harris.html,https://www.dailymail.co.uk/news/article-13943171/pennsylvania-presidential-poll-donald-trump-kamala-harris.html,NA,https://jlpartners.com/pennsylvania-likely-voters-polling,NA,NA,NA,8872,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,LIB,Oliver,31790,Chase Oliver,1
88671,1624,J.L. Partners,1997,DailyMail.com,J.L. Partners,619,J.L. Partners,1.6,0.2,Live Phone/Online Panel/Text-to-Web,6,Pennsylvania,10/5/24,10/8/24,NA,NA,NA,NA,NA,NA,212489,800,lv,NA,lv,NA,10/13/24 14:23,NA,https://www.dailymail.co.uk/news/article-13943171/pennsylvania-presidential-poll-donald-trump-kamala-harris.html,https://www.dailymail.co.uk/news/article-13943171/pennsylvania-presidential-poll-donald-trump-kamala-harris.html,NA,https://jlpartners.com/pennsylvania-likely-voters-polling,NA,NA,NA,8872,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,GRE,Stein,31116,Jill Stein,1
88695,1477,Targoz Market Research,2003,Beacon Center,Targoz Market Research,454,Targoz Market Research,1.8,0.1,NA,7,Tennessee,9/27/24,10/8/24,NA,NA,NA,NA,NA,NA,212568,1200,rv,NA,rv,NA,10/15/24 09:26,NA,https://www.beacontn.org/beacon-poll-october-2024-results,https://www.beacontn.org/beacon-poll-october-2024-results,NA,https://www.beacontn.org/wp-content/uploads/2024/10/Marginal-Crosstabs-D1.pdf,NA,NA,NA,8886,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,TRUE,DEM,Harris,16661,Kamala Harris,35
88695,1477,Targoz Market Research,2003,Beacon Center,Targoz Market Research,454,Targoz Market Research,1.8,0.1,NA,7,Tennessee,9/27/24,10/8/24,NA,NA,NA,NA,NA,NA,212568,1200,rv,NA,rv,NA,10/15/24 09:26,NA,https://www.beacontn.org/beacon-poll-october-2024-results,https://www.beacontn.org/beacon-poll-october-2024-results,NA,https://www.beacontn.org/wp-content/uploads/2024/10/Marginal-Crosstabs-D1.pdf,NA,NA,NA,8886,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,TRUE,REP,Trump,16651,Donald Trump,54
88695,1477,Targoz Market Research,2003,Beacon Center,Targoz Market Research,454,Targoz Market Research,1.8,0.1,NA,7,Tennessee,9/27/24,10/8/24,NA,NA,NA,NA,NA,NA,212568,1200,rv,NA,rv,NA,10/15/24 09:26,NA,https://www.beacontn.org/beacon-poll-october-2024-results,https://www.beacontn.org/beacon-poll-october-2024-results,NA,https://www.beacontn.org/wp-content/uploads/2024/10/Marginal-Crosstabs-D1.pdf,NA,NA,NA,8886,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,TRUE,IND,Kennedy,31042,Robert F. Kennedy,5
