poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,question_id,sample_size,population,population_full,tracking,created_at,notes,url,url_article,url_topline,url_crosstab,source,partisan,race_id,cycle,office_type,seat_number,election_date,stage,nationwide_batch,ranked_choice_reallocated,hypothetical,party,answer,candidate_id,candidate_name,pct
88606,1102,Emerson,1185,Nexstar,Emerson College,88,Emerson College,2.9,-1.1,IVR/Online Panel/Text-to-Web,7,Arizona,10/5/24,10/8/24,212185,1000,lv,lv,NA,10/10/24 08:53,NA,https://emersoncollegepolling.com/october-2024-state-polls-mixed-movement-across-swing-states-shows-dead-heat/,https://emersoncollegepolling.com/october-2024-state-polls-mixed-movement-across-swing-states-shows-dead-heat/,NA,https://docs.google.com/spreadsheets/d/1KdGpVQ0P7AVCDB5vsfoukqF6tS2ghVAo/edit?gid=1979448346#gid=1979448346,NA,NA,8759,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,DEM,Harris,16661,Kamala Harris,48.2
88606,1102,Emerson,1185,Nexstar,Emerson College,88,Emerson College,2.9,-1.1,IVR/Online Panel/Text-to-Web,7,Arizona,10/5/24,10/8/24,212185,1000,lv,lv,NA,10/10/24 08:53,NA,https://emersoncollegepolling.com/october-2024-state-polls-mixed-movement-across-swing-states-shows-dead-heat/,https://emersoncollegepolling.com/october-2024-state-polls-mixed-movement-across-swing-states-shows-dead-heat/,NA,https://docs.google.com/spreadsheets/d/1KdGpVQ0P7AVCDB5vsfoukqF6tS2ghVAo/edit?gid=1979448346#gid=1979448346,NA,NA,8759,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,REP,Trump,16651,Donald Trump,50.5
88607,1102,Emerson,1185,Nexstar,Emerson College,88,Emerson College,2.9,-1.1,IVR/Online Panel/Text-to-Web,7,Georgia,10/5/24,10/8/24,212186,1000,lv,lv,NA,10/10/24 08:53,NA,https://emersoncollegepolling.com/october-2024-state-polls-mixed-movement-across-swing-states-shows-dead-heat/,https://emersoncollegepolling.com/october-2024-state-polls-mixed-movement-across-swing-states-shows-dead-heat/,NA,https://docs.google.com/spreadsheets/d/1KdGpVQ0P7AVCDB5vsfoukqF6tS2ghVAo/edit?gid=1979448346#gid=1979448346,NA,NA,8781,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,DEM,Harris,16661,Kamala Harris,49.8
88607,1102,Emerson,1185,Nexstar,Emerson College,88,Emerson College,2.9,-1.1,IVR/Online Panel/Text-to-Web,7,Georgia,10/5/24,10/8/24,212186,1000,lv,lv,NA,10/10/24 08:53,NA,https://emersoncollegepolling.com/october-2024-state-polls-mixed-movement-across-swing-states-shows-dead-heat/,https://emersoncollegepolling.com/october-2024-state-polls-mixed-movement-across-swing-states-shows-dead-heat/,NA,https://docs.google.com/spreadsheets/d/1KdGpVQ0P7AVCDB5vsfoukqF6tS2ghVAo/edit?gid=1979448346#gid=1979448346,NA,NA,8781,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,REP,Trump,16651,Donald Trump,49.7
88608,1102,Emerson,1185,Nexstar,Emerson College,88,Emerson College,2.9,-1.1,IVR/Online Panel/Text-to-Web,7,Michigan,10/5/24,10/8/24,212187,950,lv,lv,NA,10/10/24 08:53,NA,https://emersoncollegepolling.com/october-2024-state-polls-mixed-movement-across-swing-states-shows-dead-heat/,https://emersoncollegepolling.com/october-2024-state-polls-mixed-movement-across-swing-states-shows-dead-heat/,NA,https://docs.google.com/spreadsheets/d/1KdGpVQ0P7AVCDB5vsfoukqF6tS2ghVAo/edit?gid=1979448346#gid=1979448346,NA,NA,8820,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,DEM,Harris,16661,Kamala Harris,49.7
88608,1102,Emerson,1185,Nexstar,Emerson College,88,Emerson College,2.9,-1.1,IVR/Online Panel/Text-to-Web,7,Michigan,10/5/24,10/8/24,212187,950,lv,lv,NA,10/10/24 08:53,NA,https://emersoncollegepolling.com/october-2024-state-polls-mixed-movement-across-swing-states-shows-dead-heat/,https://emersoncollegepolling.com/october-2024-state-polls-mixed-movement-across-swing-states-shows-dead-heat/,NA,https://docs.google.com/spreadsheets/d/1KdGpVQ0P7AVCDB5vsfoukqF6tS2ghVAo/edit?gid=1979448346#gid=1979448346,NA,NA,8820,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,REP,Trump,16651,Donald Trump,49.6
88609,1102,Emerson,1185,Nexstar,Emerson College,88,Emerson College,2.9,-1.1,IVR/Online Panel/Text-to-Web,7,Nevada,10/5/24,10/8/24,212188,900,lv,lv,NA,10/10/24 08:53,NA,https://emersoncollegepolling.com/october-2024-state-polls-mixed-movement-across-swing-states-shows-dead-heat/,https://emersoncollegepolling.com/october-2024-state-polls-mixed-movement-across-swing-states-shows-dead-heat/,NA,https://docs.google.com/spreadsheets/d/1KdGpVQ0P7AVCDB5vsfoukqF6tS2ghVAo/edit?gid=1979448346#gid=1979448346,NA,NA,8857,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,DEM,Harris,16661,Kamala Harris,49.2
88609,1102,Emerson,1185,Nexstar,Emerson College,88,Emerson College,2.9,-1.1,IVR/Online Panel/Text-to-Web,7,Nevada,10/5/24,10/8/24,212188,900,lv,lv,NA,10/10/24 08:53,NA,https://emersoncollegepolling.com/october-2024-state-polls-mixed-movement-across-swing-states-shows-dead-heat/,https://emersoncollegepolling.com/october-2024-state-polls-mixed-movement-across-swing-states-shows-dead-heat/,NA,https://docs.google.com/spreadsheets/d/1KdGpVQ0P7AVCDB5vsfoukqF6tS2ghVAo/edit?gid=1979448346#gid=1979448346,NA,NA,8857,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,REP,Trump,16651,Donald Trump,48.1
88610,1102,Emerson,1185,Nexstar,Emerson College,88,Emerson College,2.9,-1.1,IVR/Online Panel/Text-to-Web,7,North Carolina,10/5/24,10/8/24,212189,1000,lv,lv,NA,10/10/24 08:53,NA,https://emersoncollegepolling.com/october-2024-state-polls-mixed-movement-across-swing-states-shows-dead-heat/,https://emersoncollegepolling.com/october-2024-state-polls-mixed-movement-across-swing-states-shows-dead-heat/,NA,https://docs.google.com/spreadsheets/d/1KdGpVQ0P7AVCDB5vsfoukqF6tS2ghVAo/edit?gid=1979448346#gid=1979448346,NA,NA,8839,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,DEM,Harris,16661,Kamala Harris,49
88610,1102,Emerson,1185,Nexstar,Emerson College,88,Emerson College,2.9,-1.1,IVR/Online Panel/Text-to-Web,7,North Carolina,10/5/24,10/8/24,212189,1000,lv,lv,NA,10/10/24 08:53,NA,https://emersoncollegepolling.com/october-2024-state-polls-mixed-movement-across-swing-states-shows-dead-heat/,https://emersoncollegepolling.com/october-2024-state-polls-mixed-movement-across-swing-states-shows-dead-heat/,NA,https://docs.google.com/spreadsheets/d/1KdGpVQ0P7AVCDB5vsfoukqF6tS2ghVAo/edit?gid=1979448346#gid=1979448346,NA,NA,8839,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,REP,Trump,16651,Donald Trump,49.9
